Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=77a460a3ff82a62e,"IQOS E-Commerce Executive Seoul, South K...",Philip Morris International 4.3 서울,,portfolio of existing channels for maximum productivity and long- term growth - Monitor and optimize performance for daily...
https://kr.indeed.com/viewjob?jk=55e5e328c7403fff,Asia Integrated Marketing Strategist (상시...,3M 4.0 서울,,Marketing Manager in building overall short and long- term Area/Division IM strategy. Own strategic End to End (Lead...
https://kr.indeed.com/viewjob?jk=3e2c2534acddf9d0,Project Deployment and Support Engineer...,Ateme 서울,,"solution deployment and adoption. By maintaining a long- term relationship, the Project Deployment and Support Engineer..."
https://kr.indeed.com/viewjob?jk=a39a0db2e06d27f6,Technical Director,ASM 대한민국,,strategic and policy development aspects... have medium term consequences... operation... function and perhaps...
https://kr.indeed.com/viewjob?jk=a5e4337bd2128bba,Help Desk Technician,Vision IT 대한민국 +1 지역,,"We work side-by-side with our clients as a trusted, long- term partner offering innovative consultation and leadership..."
https://kr.indeed.com/viewjob?jk=02ddebfacdcfe00d,Project Coordinator,"Systek, Inc. 대한민국",,"package, including health, dental, life, disability, and long- term care insurance effective on an employee’s date of hire..."
https://kr.indeed.com/viewjob?jk=a0f2e58d9c98bf7d,tbs eFM part time job opening announceme...,서울특별시 5.0 대한민국,,Openings Contract Term (Hours) Hiring... eFM radio broadcast programs... term of contract may be subject to renewal up...
https://kr.indeed.com/viewjob?jk=efab6d4feed3e772,Marketing Specialist (수시모집 인재풀 등록),3M 4.0 서울,,analytical skills to analyze trends or marketing data. Uses short- term planning skills when forecasting or providing guidance...
https://kr.indeed.com/viewjob?jk=0280ffaeb851e1a7,Customer Success Specialist (CSS) - Coll...,Cisco Systems 4.1 서울,,"tactical and strategic deployment decisions and track long term business outcomes Collaborate with Account teams, Customer..."
https://kr.indeed.com/viewjob?jk=1d2472440df33e7b,Tech Business Development Associate,펍지 서울 서초구,,"선정 프로세스 지원 파트너쉽 관련 협의/계약 협상 지원 - 당사의 협상력을 높이고 파트너사와 건강한 long- term relationship을 구축할 수 있도록, BD Manager를 지원하여 계약 체결 프로세스 지원 [지원..."
https://kr.indeed.com/viewjob?jk=2fd2eee48721a877,Diagnostics Design-Field Application Sci...,Cytiva 서울,,design in G&CR range of products into Dx application in mid/long term. Troubleshoot customer issues related to G&CR products...
https://kr.indeed.com/viewjob?jk=f0c33d4b0c08ccab,"Analyst, Business Development",MachineZone 서울,,"analyses, the BD team transforms new opportunities into long term relationships and endurable revenues. Responsibilities You..."
https://kr.indeed.com/viewjob?jk=2e693eeed118784f,Sales & Clinical Specialist - Pipeline,Medtronic 3.9 대한민국,,"Responsible for developing, building, and strengthening long- term relationships with stakeholders including distributors..."
https://kr.indeed.com/viewjob?jk=55c05c872a4f55b9,Associate Design Director (18-month cont...,McKinsey & Company 4.3 서울,,you'll communicate the product’s vision to clients and customers... position... fixed term of 18 months.
https://kr.indeed.com/viewjob?jk=d7c930674681f845,AE Indirect – Consumer Reseller Online A...,Apple 서울,,"beyond the short- term. You see the world... you’ve balanced delivering on short- term goals, while building balanced value..."
https://kr.indeed.com/viewjob?jk=9046f86eafd667b9,Senior HR Supervisor,OWENS CORNING 대한민국,,"promotions and external recruitment to satisfy near- term performance, longer- term succession needs... insure plant has..."
https://kr.indeed.com/viewjob?jk=4124f4c976c8c21d,"S&S Key Account Manager, O&I",Signify 서울,,"fostering long- term, strategic... do Develop and maintain strategic long- term trusting relationships with large end..."
https://kr.indeed.com/viewjob?jk=4be44b2c8fbbb2ad,MANAGEMENT ANALYST,US Department of the Army 4.3 대한민국,,Land & base management Certain current or former term or temporary federal employees of a land or base management agency...
https://kr.indeed.com/viewjob?jk=1af6307af84af946,[Janssen Vaccines] QC Manager,Johnson & Johnson Family of Companies 4.2 인천,,"assessment and drive to closure. • Capability to provide long- term planning of QC lab capabilities and capacity, including..."
https://kr.indeed.com/viewjob?jk=34b49635de5d123e,Network Engineer - P2E,"Systek, Inc. 대한민국",,"package, including health, dental, life, disability, and long- term care insurance effective on an employee’s date of hire..."
https://kr.indeed.com/viewjob?jk=da912be7b0bb1fb0,Special Operations Physical Therapist (C...,KBR 대한민국,,facilities. • Assist... preparation of short and long- term fiscal plans. • Submits input... HP program Manager...
https://kr.indeed.com/viewjob?jk=419692b3ddb34768,Analytics Specialist,MightyHive 서울,,drive long- term value... role focuses... uncover opportunities to drive long- term value Business Facing Project manage...
https://kr.indeed.com/viewjob?jk=91d7066a06f046b2,CRM Project Management Coordinator (Cons...,국경없는의사회 한국 서울 강남구,,"CONDITION Term: temporary 8months, full time Type: Consultancy contract PURPOSE... POSITION To support its long- term..."
https://kr.indeed.com/viewjob?jk=29c830e57693d88d,Laser Engineer,E-SOL 경기도 화성,"월급 4,000,000원 - 5,000,000원","housing Air ticket to Korea... provided First contract term is 3 years, but all positions are permanent in principle..."
https://kr.indeed.com/viewjob?jk=534f9ad79408212e,Life Science Sales Team Leader,Clarivate Analytics 서울,,E. Key Responsibilities and Duties  Build short and long term strategies... product and services offering and execute...
https://kr.indeed.com/viewjob?jk=09e42e70ba295784,CX - Network Consulting Engineer,Cisco Systems 4.1 서울,,"become a trusted advisor, capable of building solid, long- term relationships with customers. You... expected..."
https://kr.indeed.com/viewjob?jk=8dd6147ce587ff72,Campaign Coordinator for South Korea,PETA Asia 대한민국,,Korea in order to bring attention to animal rights issues Term of Employment: Full-time Reports to: Campaigns Manager...
https://kr.indeed.com/viewjob?jk=0f7c551f6474dfa3,"Engr, Prof Svcs Cons",KLA-Tencor 대한민국,,identification through final invoicing through medium- to long- term engagements requiring varied interpersonal and technical...
https://kr.indeed.com/viewjob?jk=716193a2147ae47e,Postal Superintendent,US Department of the Army 4.3 대한민국,,Land & base management Certain current or former term or temporary federal employees of a land or base management agency...
https://kr.indeed.com/viewjob?jk=48d100d42e2b93e4,Tencent Cloud BD Manager,텐센트 코리아 대한민국,,"CTOs and CEOs level; Establish, maintain and strengthen long- term excellent relationships with target customers; Developing..."
https://kr.indeed.com/viewjob?jk=ab022e03ebece839,"Client Partner, Ecommerce",Facebook 서울,,roadmap to develop business and ultimately forge long term partnerships with top Digital clients in South Korea Develop...
https://kr.indeed.com/viewjob?jk=423369e355d71939,Global Marketing Manager,Materion 서울,,products and new/existing customers. • Participates in long- term strategy development and executes a yearly business plan...
https://kr.indeed.com/viewjob?jk=228ea9c11c623006,Manager Business Development,McDermott 서울,,"identifying and obtaining new business, establishing long- term customer relationships, and promotion of CB&I Storage..."
